gps_seconds[s],file_name,latitude[deg],longitude[deg],altitude_ellipsoidal[m],roll[deg],pitch[deg],heading[deg],projectedX[m],projectedY[m],projectedZ[m]
1315208394.927,pano_000000_000258,51.6340512,0.3030288,124.661,1.49797,-1.60946,-120.0638,559479.805,195315.879,79.373
1315208395.047,pano_000000_000259,51.6340638,0.3030687,124.606,1.48423,-1.79608,-120.08096,559482.524,195317.371,79.318
1315208395.167,pano_000000_000260,51.6340765,0.3031086,124.552,1.50735,-1.83959,-120.09071,559485.244,195318.866,79.264
1315208395.287,pano_000000_000261,51.6340892,0.3031486,124.503,1.55531,-1.59722,-120.09926,559487.965,195320.363,79.214
1315208395.407,pano_000000_000262,51.6341018,0.3031885,124.448,1.61104,-1.73821,-120.09886,559490.681,195321.858,79.159
1315208395.527,pano_000000_000263,51.6341145,0.3032284,124.395,1.6596,-1.87314,-120.10756,559493.398,195323.353,79.107
1315208395.647,pano_000000_000264,51.6341272,0.3032683,124.347,1.7839,-1.70913,-120.11854,559496.116,195324.852,79.059
1315208395.767,pano_000000_000265,51.6341399,0.3033082,124.296,1.93604,-1.72723,-120.11352,559498.83,195326.351,79.007
1315208395.887,pano_000000_000266,51.6341525,0.3033481,124.246,1.9278,-1.87345,-120.1206,559501.545,195327.846,78.957
1315208396.008,pano_000000_000267,51.6341653,0.3033884,124.202,1.73628,-1.7949,-120.13221,559504.288,195329.348,78.914
1315208396.128,pano_000000_000268,51.6341778,0.3034282,124.156,1.51011,-2.1393,-120.16461,559507.004,195330.833,78.868
1315208396.248,pano_000000_000269,51.6341905,0.3034682,124.121,1.48666,-1.93653,-120.18399,559509.724,195332.328,78.833
1315208396.368,pano_000000_000270,51.6342032,0.3035081,124.079,1.55593,-1.70389,-120.17963,559512.44,195333.827,78.791
1315208396.488,pano_000000_000271,51.6342159,0.3035479,124.029,1.66404,-1.91166,-120.17543,559515.149,195335.326,78.741
1315208396.608,pano_000000_000272,51.6342286,0.3035877,123.983,1.7128,-2.0739,-120.18082,559517.859,195336.823,78.694
1315208396.728,pano_000000_000273,51.6342412,0.3036276,123.944,1.66941,-1.81251,-120.19113,559520.575,195338.319,78.656
1315208396.848,pano_000000_000274,51.6342539,0.3036674,123.903,1.55322,-1.85543,-120.21017,559523.288,195339.812,78.615
1315208396.968,pano_000000_000275,51.6342665,0.3037072,123.858,1.4858,-2.0711,-120.22963,559525.998,195341.304,78.57
1315208397.088,pano_000000_000276,51.6342792,0.303747,123.818,1.52151,-2.00479,-120.23225,559528.708,195342.802,78.53
1315208397.208,pano_000000_000277,51.6342919,0.3037868,123.781,1.61711,-1.9621,-120.23646,559531.415,195344.301,78.493
1315208397.328,pano_000000_000278,51.6343046,0.3038266,123.745,1.69602,-2.01538,-120.23864,559534.122,195345.8,78.457
1315208397.448,pano_000000_000279,51.6343173,0.3038663,123.706,1.70369,-1.92778,-120.23358,559536.829,195347.298,78.418
1315208397.568,pano_000000_000280,51.6343299,0.3039061,123.665,1.63965,-1.98106,-120.25111,559539.535,195348.792,78.377
1315208397.688,pano_000000_000281,51.6343426,0.3039458,123.625,1.5518,-2.27341,-120.26716,559542.238,195350.283,78.337
1315208397.808,pano_000000_000282,51.6343553,0.3039856,123.599,1.57168,-2.04202,-120.27577,559544.946,195351.781,78.311
1315208397.928,pano_000000_000283,51.634368,0.3040253,123.568,1.60096,-1.92119,-120.26606,559547.65,195353.279,78.28
1315208398.048,pano_000000_000284,51.6343806,0.3040649,123.529,1.61105,-2.07991,-120.26524,559550.35,195354.774,78.241
1315208398.168,pano_000000_000285,51.6343933,0.3041046,123.494,1.70079,-2.3682,-120.27263,559553.048,195356.27,78.206
1315208398.288,pano_000000_000286,51.634406,0.3041443,123.472,1.7487,-2.10639,-120.27083,559555.751,195357.768,78.184
1315208398.408,pano_000000_000287,51.6344187,0.304184,123.444,1.7412,-2.04295,-120.25387,559558.453,195359.264,78.156
1315208398.528,pano_000000_000288,51.6344313,0.3042236,123.409,1.73572,-2.0558,-120.23805,559561.153,195360.758,78.121
1315208398.648,pano_000000_000289,51.634444,0.3042633,123.373,1.69767,-2.19953,-120.2295,559563.852,195362.249,78.085
1315208398.768,pano_000000_000290,51.6344566,0.3043029,123.342,1.71831,-2.1753,-120.2143,559566.553,195363.741,78.055
1315208398.889,pano_000000_000291,51.6344694,0.3043429,123.315,1.81659,-2.1266,-120.1986,559569.273,195365.247,78.027
1315208399.009,pano_000000_000292,51.634482,0.3043825,123.289,1.90992,-2.15508,-120.21399,559571.97,195366.741,78.001
1315208399.128,pano_000000_000293,51.6344945,0.3044217,123.261,2.04598,-2.46263,-120.1838,559574.641,195368.22,77.973
1315208399.248,pano_000000_000294,51.6345072,0.3044614,123.238,2.09697,-2.14875,-120.18288,559577.34,195369.712,77.95
1315208399.368,pano_000000_000295,51.6345198,0.304501,123.214,2.054,-2.12943,-120.15871,559580.037,195371.2,77.926
1315208399.488,pano_000000_000296,51.6345323,0.3045406,123.188,1.81966,-2.43912,-120.1715,559582.733,195372.677,77.9
1315208399.608,pano_000000_000297,51.6345448,0.3045802,123.17,1.58384,-2.47103,-120.2356,559585.432,195374.154,77.882
1315208399.728,pano_000000_000298,51.6345574,0.3046199,123.154,1.51117,-2.17072,-120.30571,559588.13,195375.639,77.866
1315208399.848,pano_000000_000299,51.63457,0.3046593,123.128,1.64551,-2.26245,-120.34301,559590.816,195377.131,77.841
1315208399.968,pano_000000_000300,51.6345827,0.3046988,123.104,1.68468,-2.31432,-120.38845,559593.502,195378.624,77.816
1315208400.088,pano_000000_000301,51.6345953,0.3047382,123.079,1.66308,-2.36078,-120.46043,559596.188,195380.117,77.791
1315208400.209,pano_000000_000302,51.6346081,0.304778,123.056,1.66186,-2.36102,-120.51402,559598.894,195381.626,77.769
1315208400.329,pano_000000_000303,51.6346208,0.3048174,123.038,1.74349,-2.13182,-120.56484,559601.578,195383.128,77.751
1315208400.449,pano_000000_000304,51.6346335,0.3048567,123.011,1.73122,-2.54553,-120.61118,559604.254,195384.626,77.723
1315208400.568,pano_000000_000305,51.6346462,0.3048958,122.994,1.68848,-2.43826,-120.67238,559606.913,195386.116,77.707
1315208400.689,pano_000000_000306,51.6346591,0.3049355,122.98,1.68265,-2.23833,-120.73401,559609.616,195387.635,77.693
1315208400.809,pano_000000_000307,51.6346719,0.3049749,122.96,1.65037,-2.13055,-120.76467,559612.296,195389.145,77.672
1315208400.929,pano_000000_000308,51.6346846,0.3050142,122.927,1.59838,-2.37716,-120.80194,559614.971,195390.652,77.639
1315208401.049,pano_000000_000309,51.6346975,0.3050535,122.899,1.72436,-2.24641,-120.86853,559617.647,195392.169,77.611
1315208401.169,pano_000000_000310,51.6347104,0.3050928,122.868,1.82256,-2.34533,-120.90675,559620.317,195393.687,77.58
1315208401.289,pano_000000_000311,51.6347233,0.3051321,122.848,1.77858,-2.1654,-120.95801,559622.993,195395.206,77.56
1315208401.409,pano_000000_000312,51.6347362,0.3051714,122.825,1.8236,-2.37769,-121.01491,559625.664,195396.725,77.537
1315208401.529,pano_000000_000313,51.6347491,0.3052106,122.8,1.9066,-2.31801,-121.03022,559628.333,195398.251,77.513
1315208401.649,pano_000000_000314,51.6347621,0.3052498,122.775,1.9462,-2.14728,-121.01181,559631.003,195399.777,77.487
1315208401.769,pano_000000_000315,51.634775,0.3052891,122.748,1.89477,-2.27017,-121.01538,559633.672,195401.299,77.46
