image_id,file_name,start_point,end_point,overgrown_start,overgrown_end
129,front_pano_000030_000522.jpg,"(17, 1602)","(225, 1492)",False,False
130,front_pano_000030_000523.jpg,"(7, 1602)","(493, 1335)",False,False
131,front_pano_000030_000524.jpg,"(22, 1591)","(992, 1068)",False,True
132,front_pano_000030_000525.jpg,"(1515, 1286)","(1691, 1372)",False,False
133,front_pano_000030_000526.jpg,"(88, 1568)","(560, 1272)",False,True
134,front_pano_000030_000527.jpg,"(12, 1612)","(694, 1175)",False,True
135,front_pano_000030_000528.jpg,"(1453, 1275)","(1563, 1328)",False,False
136,front_pano_000030_000529.jpg,"(72, 1591)","(400, 1394)",False,False
137,front_pano_000030_000530.jpg,"(73, 1563)","(693, 1173)",False,True
138,front_pano_000030_000531.jpg,"(1529, 1326)","(1712, 1419)",False,False
139,front_pano_000030_000532.jpg,"(23, 1613)","(689, 1176)",False,True
140,front_pano_000030_000533.jpg,"(29, 1623)","(441, 1382)",False,False
141,front_pano_000030_000534.jpg,"(1443, 1293)","(1673, 1416)",False,False
142,front_pano_000030_000535.jpg,"(1069, 1380)","(1069, 1380)",False,False
143,front_pano_000030_000536.jpg,"(35, 1615)","(137, 1560)",False,False
144,front_pano_000030_000537.jpg,"(1063, 1384)","(1270, 1146)",False,False
145,front_pano_000030_000538.jpg,"(49, 1616)","(963, 1081)",False,True
146,front_pano_000030_000539.jpg,"(19, 1615)","(177, 1537)",False,False
147,front_pano_000030_000540.jpg,"(1439, 1302)","(1586, 1386)",False,False
148,front_pano_000030_000541.jpg,"(18, 1633)","(438, 1395)",False,False
149,front_pano_000030_000542.jpg,"(22, 1634)","(420, 1403)",False,False
150,front_pano_000030_000543.jpg,"(1465, 1356)","(1642, 1470)",False,False
151,front_pano_000030_000544.jpg,"(1003, 1121)","(1003, 1121)",True,True
152,front_pano_000030_000545.jpg,"(93, 1600)","(424, 1404)",False,True
153,front_pano_000030_000546.jpg,"(1338, 1293)","(1606, 1480)",False,False
154,front_pano_000030_000547.jpg,"(7, 1645)","(1017, 1136)",False,False
155,front_pano_000030_000548.jpg,"(8, 1647)","(556, 1236)",False,True
156,front_pano_000030_000549.jpg,"(1310, 1298)","(1463, 1406)",False,False
157,front_pano_000030_000550.jpg,"(4, 1649)","(869, 1111)",False,True
158,front_pano_000030_000551.jpg,"(1244, 1248)","(1379, 1361)",False,False
159,front_pano_000030_000552.jpg,"(1337, 1331)","(1645, 1582)",False,False
160,front_pano_000030_000553.jpg,"(130, 1395)","(410, 1285)",True,True
161,front_pano_000030_000554.jpg,"(10, 1428)","(100, 1388)",True,True
162,front_pano_000030_000555.jpg,"(177, 1347)","(539, 1231)",True,True
163,front_pano_000030_000556.jpg,"(25, 1398)","(401, 1274)",True,True
164,front_pano_000030_000557.jpg,"(357, 1292)","(398, 1279)",True,True
165,front_pano_000030_000558.jpg,"(38, 1420)","(505, 1248)",True,True
166,front_pano_000030_000559.jpg,"(195, 1352)","(1123, 1064)",True,False
167,front_pano_000030_000560.jpg,"(843, 1137)","(967, 1087)",True,True
